"gwam_gu"
"S3" 0.437524886056393
"S4" 0.631502318386434
"S31" 0.366632978911756
"S32" 0.609937022558178
"S11" 0.308505161952674
"S12" 0.307239125969398
"S13" 0.317830126291728
"S14" 0.411642043572941
"S17" 0.306405873343817
"S18" 0.646923784359644
"S21" 0.0656772160547739
"S22" 0.315530615480331
"S27" 0.106085983954943
"S28" 0.223494884690148
"S7" 0.56642220875364
"S8" 0.58765557141427
"S23" 0.523790129075833
"S24" 0.323717896422837
"S39" 0.555528721627407
"S40" 0.685502191955622
"S35" 0.324260620021774
"S36" 0.294374095353597
